area,environment,longitude_start,longitude_end,latitude_start,latitude_end
1,land,-45.150486,-45.149853,-23.340744,-23.340144
1,water,-45.149414,-45.150415,-23.340813,-23.340957
2,land,-45.144043,-45.144868,-23.343771,-23.343202
2,water,-45.144503,-45.143634,-23.342987,-23.343456
4,land,-45.117835,-45.11807,-23.341032,-23.341658
4,water,-45.117734,-45.117084,-23.340738,-23.341416
3,water,-45.129222,-45.129122,-23.343694,-23.344569
3,land,-45.128388,-45.127484,-23.343741,-23.343472
6,land,-45.094422,-45.093824,-23.324572,-23.325524
6,water,-45.089126,-45.089635,-23.324259,-23.323796
5,land,-45.097041,-45.097149,-23.331908,-23.332423
5,water,-45.099698,-45.100173,-23.332042,-23.33294
8,water,-45.120015,-45.120332,-23.313991,-23.313219
8,land,-45.124575,-45.12563,-23.31427,-23.314665
7,land,-45.132481,-45.13151,-23.326528,-23.326772
7,water,-45.133222,-45.132601,-23.327646,-23.328478
9,land,-45.18724,-45.18729,-23.384626,-23.383899
9,water,-45.186928,-45.186936,-23.384994,-23.384251
lago anta,water,NA,NA,NA,NA
extra_trilha olho dagua,land,NA,NA,NA,NA
lago sede,water,NA,NA,NA,NA
extra_po�a tempor�ria,water,NA,NA,NA,NA
lago angelim,water,NA,NA,NA,NA
lago minutal,water,NA,NA,NA,NA
